2021-11-15 12:58:06,dht11_temp=0.0000000000,dht11_humidity=0.0000000000
2021-12-04 16:15:30,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:15:40,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:15:50,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:16:00,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:16:10,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:16:20,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:16:30,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:16:40,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:16:50,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:17:00,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:17:10,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:17:20,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:17:30,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:17:41,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:17:51,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:18:01,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:18:11,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:18:21,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:18:31,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:18:41,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:18:51,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:19:01,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:19:11,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:19:21,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:19:31,dht11_temp=23.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:19:41,dht11_temp=23.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:19:51,dht11_temp=23.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:20:01,dht11_temp=23.0000000000,dht11_humidity=38.0000000000
2021-12-04 16:20:11,dht11_temp=21.0000000000,dht11_humidity=38.0000000000
2021-12-04 16:20:21,dht11_temp=23.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:20:31,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:20:41,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:20:51,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:21:01,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:21:11,dht11_temp=23.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:21:21,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:21:31,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:21:41,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:21:51,dht11_temp=23.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:22:01,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:22:11,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:22:22,dht11_temp=23.0000000000,dht11_humidity=38.0000000000
2021-12-04 16:22:32,dht11_temp=23.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:22:42,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:22:52,dht11_temp=23.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:23:02,dht11_temp=21.0000000000,dht11_humidity=38.0000000000
2021-12-04 16:23:12,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:23:22,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:23:32,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:23:42,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:23:52,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:24:02,dht11_temp=23.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:24:12,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:24:22,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:24:32,dht11_temp=21.0000000000,dht11_humidity=38.0000000000
2021-12-04 16:24:42,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:24:52,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:25:02,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:25:12,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:25:22,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:25:32,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:25:42,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:25:52,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:26:02,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:26:12,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:26:22,dht11_temp=23.0000000000,dht11_humidity=38.0000000000
2021-12-04 16:26:32,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:26:42,dht11_temp=23.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:26:53,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:27:03,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:27:13,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:27:23,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:27:33,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:27:43,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:27:53,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:28:03,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:28:13,dht11_temp=21.0000000000,dht11_humidity=38.0000000000
2021-12-04 16:28:23,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:28:33,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:28:43,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:28:53,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:29:03,dht11_temp=23.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:29:13,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:29:23,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:29:33,dht11_temp=23.0000000000,dht11_humidity=38.0000000000
2021-12-04 16:29:43,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:29:53,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:30:03,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:30:13,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:30:23,dht11_temp=23.0000000000,dht11_humidity=38.0000000000
2021-12-04 16:30:33,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:30:43,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:30:53,dht11_temp=23.0000000000,dht11_humidity=38.0000000000
2021-12-04 16:31:03,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:31:13,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:31:23,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:31:34,dht11_temp=23.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:31:44,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:31:54,dht11_temp=21.0000000000,dht11_humidity=38.0000000000
2021-12-04 16:32:04,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:32:14,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:32:24,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
2021-12-04 16:32:34,dht11_temp=22.0000000000,dht11_humidity=39.0000000000
2021-12-04 16:32:44,dht11_temp=22.0000000000,dht11_humidity=40.0000000000
